Lat(X),Lng(Y),Elevation(Z)
36.3,-112.55,1411.0
36.2948718,-112.55,1424.0
36.2897436,-112.55,1465.0
36.2846154,-112.55,1455.0
36.2794872,-112.55,1439.0
36.274359,-112.55,1467.0
36.2692308,-112.55,1490.0
36.2641026,-112.55,1437.0
36.2589744,-112.55,1512.0
36.2538462,-112.55,1700.0
36.2487179,-112.55,1749.0
36.2435897,-112.55,1886.0
36.2384615,-112.55,1884.0
36.2333333,-112.55,1739.0
36.2282051,-112.55,1553.0
36.2230769,-112.55,1850.0
36.2179487,-112.55,1868.0
36.2128205,-112.55,1835.0
36.2076923,-112.55,1768.0
36.2025641,-112.55,1852.0
36.1974359,-112.55,1840.0
36.1923077,-112.55,1844.0
36.1871795,-112.55,1838.0
36.1820513,-112.55,1842.0
36.1769231,-112.55,1828.0
36.1717949,-112.55,1816.0
36.1666667,-112.55,1829.0
36.1615385,-112.55,1785.0
36.1564103,-112.55,1737.0
36.1512821,-112.55,1767.0
36.1461538,-112.55,1764.0
36.1410256,-112.55,1759.0
36.1358974,-112.55,1659.0
36.1307692,-112.55,1641.0
36.125641,-112.55,1736.0
36.1205128,-112.55,1570.0
36.1153846,-112.55,1515.0
36.1102564,-112.55,1735.0
36.1051282,-112.55,1754.0
36.1,-112.55,1753.0
36.3,-112.5397435897436,1124.0
36.2948718,-112.5397435897436,1171.0
36.2897436,-112.5397435897436,1171.0
36.2846154,-112.5397435897436,1140.0
36.2794872,-112.5397435897436,1317.0
36.274359,-112.5397435897436,1369.0
36.2692308,-112.5397435897436,1316.0
36.2641026,-112.5397435897436,1172.0
36.2589744,-112.5397435897436,1237.0
36.2538462,-112.5397435897436,1268.0
36.2487179,-112.5397435897436,1195.0
36.2435897,-112.5397435897436,1467.0
36.2384615,-112.5397435897436,1468.0
36.2333333,-112.5397435897436,1379.0
36.2282051,-112.5397435897436,1319.0
36.2230769,-112.5397435897436,1445.0
36.2179487,-112.5397435897436,1842.0
36.2128205,-112.5397435897436,1833.0
36.2076923,-112.5397435897436,1808.0
36.2025641,-112.5397435897436,1809.0
36.1974359,-112.5397435897436,1861.0
36.1923077,-112.5397435897436,1854.0
36.1871795,-112.5397435897436,1847.0
36.1820513,-112.5397435897436,1858.0
36.1769231,-112.5397435897436,1846.0
36.1717949,-112.5397435897436,1845.0
36.1666667,-112.5397435897436,1840.0
36.1615385,-112.5397435897436,1779.0
36.1564103,-112.5397435897436,1801.0
36.1512821,-112.5397435897436,1818.0
36.1461538,-112.5397435897436,1799.0
36.1410256,-112.5397435897436,1659.0
36.1358974,-112.5397435897436,1777.0
36.1307692,-112.5397435897436,1747.0
36.125641,-112.5397435897436,1760.0
36.1205128,-112.5397435897436,1751.0
36.1153846,-112.5397435897436,1729.0
36.1102564,-112.5397435897436,1663.0
36.1051282,-112.5397435897436,1731.0
36.1,-112.5397435897436,1752.0
36.3,-112.52948717948718,1320.0
36.2948718,-112.52948717948718,1393.0
36.2897436,-112.52948717948718,1180.0
36.2846154,-112.52948717948718,1220.0
36.2794872,-112.52948717948718,883.0
36.274359,-112.52948717948718,724.0
36.2692308,-112.52948717948718,690.0
36.2641026,-112.52948717948718,708.0
36.2589744,-112.52948717948718,643.0
36.2538462,-112.52948717948718,698.0
36.2487179,-112.52948717948718,836.0
36.2435897,-112.52948717948718,1255.0
36.2384615,-112.52948717948718,845.0
36.2333333,-112.52948717948718,882.0
36.2282051,-112.52948717948718,1046.0
36.2230769,-112.52948717948718,1289.0
36.2179487,-112.52948717948718,1406.0
36.2128205,-112.52948717948718,1568.0
36.2076923,-112.52948717948718,1834.0
36.2025641,-112.52948717948718,1878.0
36.1974359,-112.52948717948718,1832.0
36.1923077,-112.52948717948718,1840.0
36.1871795,-112.52948717948718,1864.0
36.1820513,-112.52948717948718,1874.0
36.1769231,-112.52948717948718,1876.0
36.1717949,-112.52948717948718,1859.0
36.1666667,-112.52948717948718,1825.0
36.1615385,-112.52948717948718,1809.0
36.1564103,-112.52948717948718,1844.0
36.1512821,-112.52948717948718,1850.0
36.1461538,-112.52948717948718,1763.0
36.1410256,-112.52948717948718,1843.0
36.1358974,-112.52948717948718,1837.0
36.1307692,-112.52948717948718,1802.0
36.125641,-112.52948717948718,1779.0
36.1205128,-112.52948717948718,1768.0
36.1153846,-112.52948717948718,1765.0
36.1102564,-112.52948717948718,1757.0
36.1051282,-112.52948717948718,1686.0
36.1,-112.52948717948718,1753.0
36.3,-112.51923076923077,1461.0
36.2948718,-112.51923076923077,1477.0
36.2897436,-112.51923076923077,1458.0
36.2846154,-112.51923076923077,1401.0
36.2794872,-112.51923076923077,881.0
36.274359,-112.51923076923077,708.0
36.2692308,-112.51923076923077,1029.0
36.2641026,-112.51923076923077,1242.0
36.2589744,-112.51923076923077,1354.0
36.2538462,-112.51923076923077,1263.0
36.2487179,-112.51923076923077,751.0
36.2435897,-112.51923076923077,763.0
36.2384615,-112.51923076923077,1299.0
36.2333333,-112.51923076923077,1455.0
36.2282051,-112.51923076923077,1471.0
36.2230769,-112.51923076923077,1561.0
36.2179487,-112.51923076923077,1881.0
36.2128205,-112.51923076923077,1895.0
36.2076923,-112.51923076923077,1870.0
36.2025641,-112.51923076923077,1870.0
36.1974359,-112.51923076923077,1884.0
36.1923077,-112.51923076923077,1863.0
36.1871795,-112.51923076923077,1881.0
36.1820513,-112.51923076923077,1880.0
36.1769231,-112.51923076923077,1878.0
36.1717949,-112.51923076923077,1858.0
36.1666667,-112.51923076923077,1856.0
36.1615385,-112.51923076923077,1846.0
36.1564103,-112.51923076923077,1866.0
36.1512821,-112.51923076923077,1832.0
36.1461538,-112.51923076923077,1843.0
36.1410256,-112.51923076923077,1860.0
36.1358974,-112.51923076923077,1848.0
36.1307692,-112.51923076923077,1843.0
36.125641,-112.51923076923077,1819.0
36.1205128,-112.51923076923077,1795.0
36.1153846,-112.51923076923077,1780.0
36.1102564,-112.51923076923077,1763.0
36.1051282,-112.51923076923077,1750.0
36.1,-112.51923076923077,1752.0
36.3,-112.50897435897436,1319.0
36.2948718,-112.50897435897436,1325.0
36.2897436,-112.50897435897436,1153.0
36.2846154,-112.50897435897436,836.0
36.2794872,-112.50897435897436,659.0
36.274359,-112.50897435897436,832.0
36.2692308,-112.50897435897436,1305.0
36.2641026,-112.50897435897436,1438.0
36.2589744,-112.50897435897436,1425.0
36.2538462,-112.50897435897436,1306.0
36.2487179,-112.50897435897436,1083.0
36.2435897,-112.50897435897436,850.0
36.2384615,-112.50897435897436,938.0
36.2333333,-112.50897435897436,1286.0
36.2282051,-112.50897435897436,1446.0
36.2230769,-112.50897435897436,1525.0
36.2179487,-112.50897435897436,1913.0
36.2128205,-112.50897435897436,1911.0
36.2076923,-112.50897435897436,1911.0
36.2025641,-112.50897435897436,1906.0
36.1974359,-112.50897435897436,1915.0
36.1923077,-112.50897435897436,1892.0
36.1871795,-112.50897435897436,1889.0
36.1820513,-112.50897435897436,1896.0
36.1769231,-112.50897435897436,1896.0
36.1717949,-112.50897435897436,1886.0
36.1666667,-112.50897435897436,1855.0
36.1615385,-112.50897435897436,1882.0
36.1564103,-112.50897435897436,1860.0
36.1512821,-112.50897435897436,1829.0
36.1461538,-112.50897435897436,1813.0
36.1410256,-112.50897435897436,1851.0
36.1358974,-112.50897435897436,1865.0
36.1307692,-112.50897435897436,1849.0
36.125641,-112.50897435897436,1839.0
36.1205128,-112.50897435897436,1826.0
36.1153846,-112.50897435897436,1804.0
36.1102564,-112.50897435897436,1765.0
36.1051282,-112.50897435897436,1765.0
36.1,-112.50897435897436,1781.0
36.3,-112.49871794871795,746.0
36.2948718,-112.49871794871795,681.0
36.2897436,-112.49871794871795,681.0
36.2846154,-112.49871794871795,803.0
36.2794872,-112.49871794871795,1121.0
36.274359,-112.49871794871795,1215.0
36.2692308,-112.49871794871795,1308.0
36.2641026,-112.49871794871795,1420.0
36.2589744,-112.49871794871795,1271.0
36.2538462,-112.49871794871795,1192.0
36.2487179,-112.49871794871795,1359.0
36.2435897,-112.49871794871795,925.0
36.2384615,-112.49871794871795,937.0
36.2333333,-112.49871794871795,1079.0
36.2282051,-112.49871794871795,1357.0
36.2230769,-112.49871794871795,1473.0
36.2179487,-112.49871794871795,1538.0
36.2128205,-112.49871794871795,1942.0
36.2076923,-112.49871794871795,1941.0
36.2025641,-112.49871794871795,1914.0
36.1974359,-112.49871794871795,1921.0
36.1923077,-112.49871794871795,1938.0
36.1871795,-112.49871794871795,1921.0
36.1820513,-112.49871794871795,1916.0
36.1769231,-112.49871794871795,1911.0
36.1717949,-112.49871794871795,1899.0
36.1666667,-112.49871794871795,1875.0
36.1615385,-112.49871794871795,1890.0
36.1564103,-112.49871794871795,1874.0
36.1512821,-112.49871794871795,1866.0
36.1461538,-112.49871794871795,1840.0
36.1410256,-112.49871794871795,1846.0
36.1358974,-112.49871794871795,1862.0
36.1307692,-112.49871794871795,1849.0
36.125641,-112.49871794871795,1851.0
36.1205128,-112.49871794871795,1840.0
36.1153846,-112.49871794871795,1812.0
