Lat(X),Lng(Y),Elevation(Z)
46.1539,-122.2331,1019.0
46.1554306,-122.2331,1014.0
46.1569612,-122.2331,1028.0
46.1584918,-122.2331,1045.0
46.1600224,-122.2331,1073.0
46.1615531,-122.2331,1100.0
46.1630837,-122.2331,1123.0
46.1646143,-122.2331,1143.0
46.1661449,-122.2331,1215.0
46.1676755,-122.2331,1327.0
46.1692061,-122.2331,1408.0
46.1707367,-122.2331,1407.0
46.1722673,-122.2331,1407.0
46.173798,-122.2331,1460.0
46.1753286,-122.2331,1396.0
46.1768592,-122.2331,1298.0
46.1783898,-122.2331,1317.0
46.1799204,-122.2331,1355.0
46.181451,-122.2331,1355.0
46.1829816,-122.2331,1346.0
46.1845122,-122.2331,1381.0
46.1860429,-122.2331,1404.0
46.1875735,-122.2331,1391.0
46.1891041,-122.2331,1401.0
46.1906347,-122.2331,1417.0
46.1921653,-122.2331,1449.0
46.1936959,-122.2331,1471.0
46.1952265,-122.2331,1471.0
46.1967571,-122.2331,1451.0
46.1982878,-122.2331,1415.0
46.1998184,-122.2331,1409.0
46.201349,-122.2331,1446.0
46.2028796,-122.2331,1450.0
46.2044102,-122.2331,1426.0
46.2059408,-122.2331,1351.0
46.2074714,-122.2331,1357.0
46.209002,-122.2331,1345.0
46.2105327,-122.2331,1307.0
46.2120633,-122.2331,1220.0
46.2135939,-122.2331,1200.0
46.2151245,-122.2331,1311.0
46.2166551,-122.2331,1309.0
46.2181857,-122.2331,1301.0
46.2197163,-122.2331,1273.0
46.2212469,-122.2331,1252.0
46.2227776,-122.2331,1246.0
46.2243082,-122.2331,1218.0
46.2258388,-122.2331,1187.0
46.2273694,-122.2331,1160.0
46.2289,-122.2331,1140.0
46.1539,-122.2315693877551,1024.0
46.1554306,-122.2315693877551,1025.0
46.1569612,-122.2315693877551,1045.0
46.1584918,-122.2315693877551,1065.0
46.1600224,-122.2315693877551,1094.0
46.1615531,-122.2315693877551,1120.0
46.1630837,-122.2315693877551,1145.0
46.1646143,-122.2315693877551,1166.0
46.1661449,-122.2315693877551,1218.0
46.1676755,-122.2315693877551,1297.0
46.1692061,-122.2315693877551,1340.0
46.1707367,-122.2315693877551,1367.0
46.1722673,-122.2315693877551,1399.0
46.173798,-122.2315693877551,1457.0
46.1753286,-122.2315693877551,1414.0
46.1768592,-122.2315693877551,1321.0
46.1783898,-122.2315693877551,1329.0
46.1799204,-122.2315693877551,1373.0
46.181451,-122.2315693877551,1382.0
46.1829816,-122.2315693877551,1372.0
46.1845122,-122.2315693877551,1390.0
46.1860429,-122.2315693877551,1424.0
46.1875735,-122.2315693877551,1419.0
46.1891041,-122.2315693877551,1423.0
46.1906347,-122.2315693877551,1440.0
46.1921653,-122.2315693877551,1466.0
46.1936959,-122.2315693877551,1498.0
46.1952265,-122.2315693877551,1499.0
46.1967571,-122.2315693877551,1470.0
46.1982878,-122.2315693877551,1446.0
46.1998184,-122.2315693877551,1449.0
46.201349,-122.2315693877551,1474.0
46.2028796,-122.2315693877551,1474.0
46.2044102,-122.2315693877551,1445.0
46.2059408,-122.2315693877551,1389.0
46.2074714,-122.2315693877551,1418.0
46.209002,-122.2315693877551,1395.0
46.2105327,-122.2315693877551,1327.0
46.2120633,-122.2315693877551,1228.0
46.2135939,-122.2315693877551,1250.0
46.2151245,-122.2315693877551,1334.0
46.2166551,-122.2315693877551,1322.0
46.2181857,-122.2315693877551,1310.0
46.2197163,-122.2315693877551,1289.0
46.2212469,-122.2315693877551,1279.0
46.2227776,-122.2315693877551,1259.0
46.2243082,-122.2315693877551,1225.0
46.2258388,-122.2315693877551,1191.0
46.2273694,-122.2315693877551,1175.0
46.2289,-122.2315693877551,1149.0
46.1539,-122.2300387755102,1037.0
46.1554306,-122.2300387755102,1037.0
46.1569612,-122.2300387755102,1055.0
46.1584918,-122.2300387755102,1079.0
46.1600224,-122.2300387755102,1097.0
46.1615531,-122.2300387755102,1129.0
46.1630837,-122.2300387755102,1152.0
46.1646143,-122.2300387755102,1178.0
46.1661449,-122.2300387755102,1206.0
46.1676755,-122.2300387755102,1233.0
46.1692061,-122.2300387755102,1263.0
46.1707367,-122.2300387755102,1298.0
46.1722673,-122.2300387755102,1368.0
46.173798,-122.2300387755102,1446.0
46.1753286,-122.2300387755102,1432.0
46.1768592,-122.2300387755102,1347.0
46.1783898,-122.2300387755102,1350.0
46.1799204,-122.2300387755102,1380.0
46.181451,-122.2300387755102,1402.0
46.1829816,-122.2300387755102,1402.0
46.1845122,-122.2300387755102,1404.0
46.1860429,-122.2300387755102,1436.0
46.1875735,-122.2300387755102,1461.0
46.1891041,-122.2300387755102,1462.0
46.1906347,-122.2300387755102,1462.0
46.1921653,-122.2300387755102,1486.0
46.1936959,-122.2300387755102,1519.0
46.1952265,-122.2300387755102,1532.0
46.1967571,-122.2300387755102,1509.0
46.1982878,-122.2300387755102,1482.0
46.1998184,-122.2300387755102,1483.0
46.201349,-122.2300387755102,1505.0
46.2028796,-122.2300387755102,1501.0
46.2044102,-122.2300387755102,1469.0
46.2059408,-122.2300387755102,1439.0
46.2074714,-122.2300387755102,1458.0
46.209002,-122.2300387755102,1416.0
46.2105327,-122.2300387755102,1348.0
46.2120633,-122.2300387755102,1235.0
46.2135939,-122.2300387755102,1294.0
46.2151245,-122.2300387755102,1361.0
46.2166551,-122.2300387755102,1343.0
46.2181857,-122.2300387755102,1317.0
46.2197163,-122.2300387755102,1309.0
46.2212469,-122.2300387755102,1297.0
46.2227776,-122.2300387755102,1266.0
46.2243082,-122.2300387755102,1232.0
46.2258388,-122.2300387755102,1208.0
46.2273694,-122.2300387755102,1175.0
46.2289,-122.2300387755102,1150.0
46.1539,-122.2285081632653,1048.0
46.1554306,-122.2285081632653,1055.0
46.1569612,-122.2285081632653,1069.0
46.1584918,-122.2285081632653,1087.0
46.1600224,-122.2285081632653,1098.0
46.1615531,-122.2285081632653,1126.0
46.1630837,-122.2285081632653,1155.0
46.1646143,-122.2285081632653,1189.0
46.1661449,-122.2285081632653,1211.0
46.1676755,-122.2285081632653,1224.0
46.1692061,-122.2285081632653,1241.0
46.1707367,-122.2285081632653,1288.0
46.1722673,-122.2285081632653,1360.0
46.173798,-122.2285081632653,1428.0
46.1753286,-122.2285081632653,1418.0
46.1768592,-122.2285081632653,1363.0
46.1783898,-122.2285081632653,1366.0
46.1799204,-122.2285081632653,1386.0
46.181451,-122.2285081632653,1417.0
46.1829816,-122.2285081632653,1429.0
46.1845122,-122.2285081632653,1425.0
46.1860429,-122.2285081632653,1444.0
46.1875735,-122.2285081632653,1484.0
46.1891041,-122.2285081632653,1491.0
46.1906347,-122.2285081632653,1493.0
46.1921653,-122.2285081632653,1509.0
46.1936959,-122.2285081632653,1552.0
46.1952265,-122.2285081632653,1562.0
46.1967571,-122.2285081632653,1551.0
46.1982878,-122.2285081632653,1522.0
46.1998184,-122.2285081632653,1517.0
46.201349,-122.2285081632653,1534.0
46.2028796,-122.2285081632653,1532.0
46.2044102,-122.2285081632653,1492.0
46.2059408,-122.2285081632653,1491.0
46.2074714,-122.2285081632653,1497.0
46.209002,-122.2285081632653,1449.0
46.2105327,-122.2285081632653,1350.0
